"BUDGET_YEAR","GROUP_NAME","OCTOBER","NOVEMBER","DECEMBER","JANUARY","FEBUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","UPDATE_DATE"
"2565","ภาษียาสูบ","           3547503681.5600","           4597397384.1900","           5413093728.8800","           5703576464.7000","           5312198849.8200","           5784626742.3200","           5026485012.3200","           4773627595.7600","           5243909303.8500","           4151877844.2600","           5220018752.1600","           5009995082.2200","2566-08-11"
"2565","ภาษีรถจักรยานยนต์","            258250966.7100","            296653720.6000","            333564686.4200","            309174344.6600","            314231961.3300","            333658826.7800","            313989855.4000","            307818718.5100","            344316252.1600","            347508343.7700","            401368950.6400","            412971439.7100","2566-08-11"
"2565","ภาษีรถยนต์","           7438519167.6500","           8590705500.4300","           9326033395.6200","           7520168329.8700","           6848193479.2600","           9353183929.6100","           7819364474.0600","           7275699346.4500","           7464642581.8500","           7398272353.7600","           8663644309.8300","           9735589968.7000","2566-08-11"
"2565","ภาษีสถานอาบน้ำหรืออบตัวและนวด","                12191.6700","               105307.8500","                15550.5600","                46299.9600","                44539.6500","                50188.0500","                58022.6100","                76573.2800","                77734.8600","              2495976.4500","              2972005.4600","              3304395.0100","2566-08-11"
"2565","ภาษีสนามกอล์ฟ","             19587635.3100","             25131527.7100","             26771578.3200","             36825709.2200","             42040194.0900","             36721840.8300","             32967995.1000","             32274124.0700","             32963010.1400","             29542836.0100","             33591373.1200","             35811591.3400","2566-08-11"
"2565","ภาษีสนามแข่งม้า","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","2566-08-11"
"2565","ภาษีไพ่","              8053423.0000","                  810.0000","              1887607.0000","                 2217.6000","              1152016.0000","              4306019.8000","                 2016.0000","                 3240.8800","                70536.0000","              1958432.4000","              1595929.4800","                    0.0000","2566-08-11"
"2565","ภาษีไนต์คลับและดิสโกเธค","                72034.2000","               421373.4100","               410888.4500","              1265562.9500","               791272.1700","              1110474.3300","              1599906.7200","              2180133.8100","              4520364.5600","              5741358.7500","              8416553.4300","              8597359.1500","2566-08-11"
"2565","ภาษีแบตเตอรี่","            269671054.8700","            270881607.7700","            308674591.8100","            314675632.2700","            257656322.1200","            279137385.4300","            281474218.0500","            256022466.4900","            307043076.9900","            319277213.7500","            307791505.2600","            319683005.7300","2566-08-11"
"2565","ภาษีเรือ","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","2566-08-11"
"2565","ภาษีเบียร์","           4959555822.8300","           6584732111.9900","           8212073946.2500","           8947379245.6500","           6950149202.1200","           7878125458.6300","           9582277375.6400","           5770687482.4100","           6901602056.7600","           7589658857.9600","           5872442873.2300","           5786515540.5300","2566-08-11"
"2565","ภาษีเครื่องดื่ม","           1803523277.4900","           1867827203.5200","           2018584130.4800","           2127219998.5100","           1802743982.2800","           1945508724.6700","           2412900020.6900","           2190330468.8700","           2124306342.0900","           2082943507.6300","           2041607823.0600","           2066740173.1200","2566-08-11"
"2565","ภาษีสุรา","           4700105494.6500","           5604807705.4000","           5258375365.1000","           5378382629.8400","           5019691581.7300","           5794577712.8400","           4639703489.6800","           4362793671.8000","           4396578109.0500","           4485775526.5300","           4738912979.4100","           4880405211.4600","2566-08-11"
"2565","ภาษีสินค้าอื่นๆ(ผลิตภัณฑ์ที่ใช้เป็นเครื่องดื่ม)","             25416815.3000","             27495907.1200","             32824963.9600","             36843531.4600","             24061588.0500","             35584006.1200","             47222761.4200","             38274756.4900","             29981039.6500","             26629025.9800","             30205197.8800","             52721105.3300","2566-08-11"
"2565","ภาษีน้ำมันและผลิตภัณฑ์น้ำมัน","          13986619220.5300","          18693781663.2700","          19792416259.7100","          21298172065.2800","          17813581755.8000","          13831724933.0600","          13911308289.4500","          12438445549.7900","           9001536977.1600","           7879114942.1200","           9754519581.8300","           9186513147.1400","2566-08-11"
